1331,0,0,18,0,8,31,10,67
1332,0,0,18,0,8,40,10,76
1334,0,0,12,0,0,9,7,28
1339,0,0,26,0,8,44,10,88
1341,0,0,24,0,8,40,10,82
1357,0,0,23,0,10,44,10,87
1358,0,0,21,0,5,27,10,63
1359,0,0,21,0,10,45,9,85
1362,0,0,0,0,8,44,9,61
1363,0,0,20,0,8,39,10,77
1364,0,0,22,0,10,44,10,86
1365,0,0,23,0,10,47,10,90
1366,0,0,27,0,10,38,9,84
1370,0,0,27,0,9,47,10,93
1372,0,0,30,0,10,44,10,94
1373,0,0,21,0,9,41,9,80
1374,0,0,25,0,7,41,10,83
1375,0,0,21,0,10,41,10,82
1376,0,0,24,0,9,47,10,90
1377,0,0,14,0,9,,10,
1378,0,0,17,0,0,28,9,54
1379,0,0,28,0,10,47,10,95
1381,0,0,14,0,9,18,10,51
1382,0,0,24,0,10,39,10,83
1383,0,0,25,0,10,41,10,86
1384,0,0,20,0,9,44,10,83
1385,0,0,25,0,8,35,10,78
1387,0,0,25,0,10,35,10,80
1388,0,0,29,0,10,44,10,93
1416,0,0,18,0,10,44,10,82
1419,0,0,8,0,6,33,10,57
1455,0,0,27,0,0,44,10,81
1462,0,0,20,0,9,45,10,84
1389,0,0,25,0,8,42,10,85
1390,0,0,20,0,10,42,10,82
1391,0,0,20,0,10,39,10,79
1392,0,0,19,0,9,25,10,63
1393,0,0,0,0,7,0,0,7
1394,0,0,22,0,9,38,10,79
1395,0,0,25,0,10,39,10,84
1396,0,0,27,0,10,44,10,91
1397,0,0,25,0,10,50,9,94
1399,0,0,18,0,8,41,10,77
1401,0,0,21,0,9,47,10,87
1402,0,0,30,0,9,50,10,99
1404,0,0,17,0,8,47,10,82
1405,0,0,20,0,10,47,10,87
1406,0,0,21,0,10,50,10,91
1407,0,0,27,0,10,47,10,94
1408,0,0,22,0,10,47,10,89
1409,0,0,30,0,10,47,10,97
1410,0,0,30,0,10,44,10,94
1411,0,0,27,0,10,42,10,89
1465,0,0,26,0,8,50,10,94
